2022-12-08,1,"['sausages', 'breakfast']"
2022-12-08,2,"['chicken wraps', 'lunch']"
2022-12-08,3,"['tuna spaghetti', 'dinner']"
2022-12-09,1,"['pancakes', 'breakfast']"
2022-12-09,2,"['grilled cheese sandwich', 'lunch']"
2022-12-09,3,"['fish fingers', 'dinner']"
2022-12-10,1,"['corned beef hash', 'breakfast']"
2022-12-10,2,"['ham sandwich', 'lunch']"
2022-12-10,3,"['Lemon Pepper Chicken', 'dinner']"
2022-12-11,1,"['cereal', 'breakfast']"
2022-12-11,2,"['tuna patties', 'lunch']"
2022-12-11,3,"['pork ribs', 'dinner']"
2022-12-12,1,"['scrambled eggs', 'breakfast']"
2022-12-12,2,"['egg sandwich', 'lunch']"
2022-12-12,3,"['Picadillo', 'dinner']"
2022-12-13,1,"['PB & J', 'breakfast']"
2022-12-13,2,"['tuna sandwich', 'lunch']"
2022-12-13,3,"['roasted chicken', 'dinner']"
2022-12-14,1,"['banana bread', 'breakfast']"
2022-12-14,2,"['spam', 'lunch']"
2022-12-14,3,"['pork sinigang', 'dinner']"
